Author,Comment
@sjecks5277,"I’m so sorry this is happening to you right now ❤ Please take care of yourself 💕 Things will get better. Your babies need you to be happy, healthy, and strong. Unfortunately the internet sucks and people jump on the hate train. Just remember that you have a ton of amazing people in your life that love you and know the real you. Just focus on the beauty in your life and let the negativity wash away. Sending positive vibes to you and yours❤"
@t3murph,"I love you Colleen! I loved watching every Miranda Sings episode and anxiously awaited the next one. And let me tell you, I am not traumatized one bit! Stay strong and you have alot of fans that support you! You&#39;re an amazing person!"
@andreadellupo1979,"i have never in my life expected colleen to ever be attacked and harassed like this or “canceled” ever ever ever. everyone is making fun of her for making a song out of the situation but if you actually knew her, she’s a singer, she sings for EVERYTHING, that’s who she is. she’s always made songs for everything. her actual, genuine, supporters know this. im not trying to account for her mistakes, but she is addressing it in the way she felt most comfortable. idk, i have been supporting her for more than 10 years and still love her, she’s a good person. with a huge heart. who has made mistakes. but so has the rest of the world."
@alexknox6680,"Please don’t stop your videos!!!😭"
@Kaitlyn-jg5vm,"Ya’ll can’t be mad that she didn’t apologize when you’d just make fun of her for that too. I don’t think you REALIZE how much things like this can ruin a persons life in almost every aspect. I’ve been a fan of Colleen’s for almost 10 years and have even met her. She’s genuinely the sweetest human I have ever met. She agreed that what she did in the past was weird and you have to keep in mind that she was very young herself when she started Miranda Sings. She has grown so much and learned so much, as we all do. Please think about how this is affecting her and her mental health. She has said all that she feels she wanted to or could to defend herself, it’s not right to make fun of her for defending herself. She’s not just some youtuber that everyone wants off the internet. She’s a wife and mother. Think not only about her, but her family."
@financebro5613,"Y’all are so dramatic she’s not any of those bad things. LOVE HER"
@mackenziekuelz3305,"Okay slay I love you colleen"
@desiree1433,"Colleen you don’t need to apologize. Anyone that thinks you’ve done something horrible I can bet if we looked through that persons phone they too could have something taken out of context. I would think people would be very careful with accusations now say as we know a lawsuit will punish those that are lying. Im so sorry Colleen ❤"
@jazminet5500,"Sending love!!! 💖💖💖💖💖💖💖💖💖💖💖💖"
@rainbowshrek2137,"❤❤❤ I love this! Stay strong, I love you 😢"
@shanadavis3001,"I will admit my bias because I’ve been watching Colleens YouTube videos for almost 6 years now for context I never really liked Miranda Sings. I’ve frankly never watched Miranda sings content unless it was for Colleen because I liked Colleen. I always loved their family’s channels and I watched Rachel, Colleen, and sometimes Chris. The whole Ballinger family that’s what I grew up with. Only recently had I started watching Colleens Vlogs less consistently Because I’ve been busy with college. However, when all of this came out about Colleen a few years ago, I remember believing the person that said it and when Colleen originally addressed it everyone universally came to the understanding that she had made a mistake. The irony is all of this drama that’s coming back up is it is the same thing that people tried to cancel her with years ago. Now, by no means, am I trying to justify any of her actions, but what I’m saying is for this video specifically, I appreciated the apology. I have grown up, feeling like I’ve known Colleen and known her personality, and she always turns to art when she doesn’t know how else to express herself. that’s some thing I quite liked about her because I end up doing the same thing in my personal life. The point I’m trying to make here is this apology is perfect for her in my opinion because this is an example of who Colleen is and how she deals with problems. I think it’s beautiful frankly, when an artist pours their heart into their work. I know some are saying that they would prefer for her to have been more professional in this video, but contrary to popular belief, when all of this came up years ago, she did address all of this and made a formal apology years ago. So now when people are bringing up the past again and trying to cancel her with the same old thing, I think this is a perfect way to respond and I understand if you disagree that’s all right. I could be wrong, and I could be blinded by my own nostalgia but it’s my opinion. Colleen if you happen to see this comment, just know that one of your fans has forgiven you, and still loves you.❤<br><br><br>Also, just bring a little bit more perspective into this. I really don’t appreciate you guys calling her a pedophile because I am a sexual assault victim. I was raped by a 30 year old man when I was six years old he was a pedophile. Colleen making a few out of taste jokes and weird comments does not make her a pedophile. Please don’t label people with such horrific terms when they haven’t done anything to deserve it."
@MaryLauner,"People suck, its ok. Keep your head up"
@juanitatorres8551,"To the people who are attacking her “ grow the hell up”, it’s not her fault. She just wanted to connect with her fans, and to the people who feel “trauma”, you shouldn’t have responded or even dm’ed her . To the people who feel “trauma” grow the hell up and admit you shouldn’t have done that like a crazy fan. This cancel culture’s is the stupidest thing ever. Why can’t people make mistakes like what humans are supposed to do. To the people who don’t make mistakes, your parents must of had y’all on a chain and the belt in there hand."
@AussieOzzies,"Cancel culture sucks! Everyone makes dumb mistakes in their lives. Unfortunately, for people well known, it ends up being smeared everywhere. Yes, she made a few silly mistakes but it was very clear she was never &quot;grooming&quot; Adam and didn&#39;t have any sexual interest in him whatsoever. The only people that can throw a dagger in Colleen&#39;s direction are those who have never made a stupid mistake before and I&#39;m sorry to burst your bubble but that&#39;s no one!!"
@user-id5lq1oq8w,"I hate cancel culture so much😩 she’s corny but she’s not a bad person… i don’t understand why people today feel so entitled and feel like the world owes them something. Every vid that came out about her was such a fucking reach."
@sarahjayneroe8859,"I support you in this. You already apologized and addressed the things you did wrong years ago, so why should you apologize again for that, and additional things you don&#39;t believe you did? I&#39;m glad to see you aren&#39;t letting cancel culture win and bowing to their demands. Please stay strong against it and don&#39;t cave and delete this or apologize when an apology is not deserved."
@kriskushnation,"Just do you, turn off comments and keep posting"
@roxanacamacho9792,"Love Colleen!"
@reeejoys,"everyone&#39;s making fun of her for &quot;singing an apology&quot;.. but honestly, if you just read the lyrics as it is, it makes lotsa sense.<br>.<br>all i can say is.. who am i to judge 😳"
@Charlie1776_,"Points for creativity"
@ananyakal,"THEYYYY DIDNT SAY I COULDNT SIIIING"
@Charlie1776_,"Brave and Strong."
@yareliri0s,"even if she would cried and fell to the floor and said sorry a million times y’all would of still said “ she’s gaslighting us” she is still a horrible person” and she every possible thing to keep on just HATING, she’s changed and either way little kids shouldn’t be in her shows since u can clearly tell her character is for older audiences NOT 7-8 yrs olds!! so if the parents take them to her show they shouldn’t get mad since everything she does is part of her ACT"
